timestamp_utc,symbol,interval,signal,trade_direction,open,high,low,close,candle_dir,total_volume,vol_ratio_vs_avg,delta,delta_ratio,poc_price,max_bull_stacked,max_bear_stacked,confluence_score,confluence_stars,follow_through,is_news_candle
2022-01-01 01:45,BTCUSDT,1m,BULL_ABSORPTION,LONG,46768.11,46774.27,46765.0,46773.0,BULL,3.0262,0.06,0.093,0.0307,46765.0,0,0,0,1,NO,NO
2022-01-01 01:46,BTCUSDT,1m,BULL_ABSORPTION,LONG,46773.0,46773.91,46720.0,46736.91,BEAR,16.4593,0.328,-12.0175,0.7301,46720.0,0,11,0,2,YES,NO
2022-01-01 01:47,BTCUSDT,1m,BULL_ABSORPTION,LONG,46736.91,46745.69,46711.9,46739.92,BULL,24.577,0.49,-14.5768,0.5931,46710.0,0,7,0,3,YES,NO
2022-01-01 01:48,BTCUSDT,1m,DELTA_DIV,SHORT,46739.93,46774.9,46725.77,46774.87,BULL,26.318,0.525,-12.464,0.4736,46725.0,0,0,0,2,NO,NO
2022-01-01 01:49,BTCUSDT,1m,BULL_ABSORPTION,LONG,46769.94,46779.7,46747.22,46771.72,BULL,8.658,0.173,-3.0528,0.3526,46745.0,0,0,0,2,YES,NO
2022-01-01 01:50,BTCUSDT,1m,EXHAUSTION_BULL,SHORT,46769.61,46780.0,46765.75,46770.01,BULL,3.3066,0.066,0.4686,0.1417,46765.0,0,0,0,1,NO,NO
2022-01-01 01:51,BTCUSDT,1m,BULL_INITIATION,LONG,46770.01,46849.37,46770.0,46849.37,BULL,32.8192,0.654,29.3984,0.8958,46770.0,16,0,0,2,NO,NO
2022-01-01 01:52,BTCUSDT,1m,EXHAUSTION_BULL,SHORT,46849.37,46861.47,46782.64,46800.36,BEAR,19.4928,0.389,-4.0464,0.2076,46785.0,0,0,0,1,YES,NO
2022-01-01 01:53,BTCUSDT,1m,NONE,—,46800.36,46810.07,46775.59,46781.97,BEAR,4.7985,0.096,-0.2135,0.0445,46775.0,0,0,0,1,N/A,NO
2022-01-01 01:54,BTCUSDT,1m,NONE,—,46781.97,46821.27,46780.85,46819.12,BULL,7.6432,0.152,0.56,0.0733,46780.0,0,0,0,1,N/A,NO
2022-01-01 01:55,BTCUSDT,1m,EXHAUSTION_BULL,SHORT,46819.12,46823.96,46780.03,46783.9,BEAR,4.8159,0.096,-0.9369,0.1945,46780.0,0,0,0,2,NO,NO
2022-01-01 01:56,BTCUSDT,1m,DELTA_DIV,SHORT,46783.91,46799.39,46780.78,46793.96,BULL,2.426,0.048,-0.9204,0.3794,46780.0,0,0,0,1,YES,NO
2022-01-01 01:57,BTCUSDT,1m,NONE,—,46793.95,46795.75,46760.0,46760.44,BEAR,9.9561,0.199,-0.7161,0.0719,46760.0,0,0,0,1,N/A,NO
2022-01-01 01:58,BTCUSDT,1m,EXHAUSTION_BEAR,LONG,46760.45,46795.97,46750.0,46788.3,BULL,4.8591,0.097,1.8369,0.378,46750.0,0,0,0,2,NO,NO
2022-01-01 01:59,BTCUSDT,1m,NONE,—,46788.31,46795.5,46774.32,46778.14,BEAR,4.9676,0.099,0.598,0.1204,46775.0,0,0,0,1,N/A,NO
2022-01-01 02:00,BTCUSDT,1m,NONE,—,46778.14,46813.16,46769.95,46804.69,BULL,13.5117,0.269,-1.6173,0.1197,46770.0,0,0,0,1,N/A,NO
2022-01-01 02:01,BTCUSDT,1m,BULL_ABSORPTION,LONG,46804.7,46804.7,46770.32,46794.05,BEAR,5.936,0.118,-0.4592,0.0774,46770.0,0,0,0,1,YES,NO
2022-01-01 02:02,BTCUSDT,1m,BULL_ABSORPTION,LONG,46794.04,46805.32,46787.32,46803.27,BULL,7.7644,0.155,-0.7772,0.1001,46785.0,0,0,0,1,YES,NO
2022-01-01 02:03,BTCUSDT,1m,NONE,—,46803.28,46823.39,46803.27,46816.34,BULL,10.8024,0.215,-0.3072,0.0284,46805.0,0,0,0,1,N/A,NO
2022-01-01 02:04,BTCUSDT,1m,BULL_ABSORPTION,LONG,46816.33,46823.96,46807.0,46823.95,BULL,3.543,0.071,-0.3306,0.0933,46805.0,0,0,0,2,NO,NO
2022-01-01 02:05,BTCUSDT,1m,CVD_DIV,SHORT,46823.96,46823.96,46813.04,46813.23,BEAR,3.1508,0.063,-1.7668,0.5607,46815.0,0,2,0,1,NO,NO
2022-01-01 02:06,BTCUSDT,1m,BULL_ABSORPTION,LONG,46813.23,46834.91,46792.21,46832.47,BULL,7.3908,0.147,-1.1556,0.1564,46790.0,0,0,0,2,YES,NO
2022-01-01 02:07,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46832.46,46861.86,46832.46,46844.96,BULL,6.1086,0.122,3.081,0.5044,46830.0,6,0,0,3,YES,NO
2022-01-01 02:08,BTCUSDT,1m,BULL_ABSORPTION,LONG,46844.96,46850.29,46834.91,46842.92,BEAR,2.8785,0.057,-1.3281,0.4614,46835.0,0,0,0,1,NO,NO
2022-01-01 02:09,BTCUSDT,1m,BULL_ABSORPTION,LONG,46842.92,46848.65,46807.0,46816.15,BEAR,17.62,0.351,-0.5432,0.0308,46805.0,0,0,0,1,YES,NO
2022-01-01 02:10,BTCUSDT,1m,BULL_ABSORPTION,LONG,46816.14,46821.75,46789.02,46821.75,BULL,9.1308,0.182,-3.9284,0.4302,46790.0,0,0,0,2,YES,NO
2022-01-01 02:11,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46821.75,46839.36,46820.0,46828.78,BULL,6.3064,0.126,-2.5616,0.4062,46820.0,0,0,0,2,NO,NO
2022-01-01 02:12,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46828.78,46867.75,46828.78,46850.29,BULL,15.4744,0.309,4.084,0.2639,46830.0,0,0,0,1,NO,NO
2022-01-01 02:13,BTCUSDT,1m,BULL_ABSORPTION,LONG,46850.29,46857.76,46840.02,46856.02,BULL,3.5352,0.07,-1.0016,0.2833,46840.0,0,0,0,2,NO,NO
2022-01-01 02:14,BTCUSDT,1m,BULL_ABSORPTION,LONG,46856.02,46856.02,46830.0,46845.97,BEAR,8.7335,0.174,1.4615,0.1673,46830.0,0,0,0,1,YES,NO
